OBJECTID,Rijksmonumentnummer,Gchw_nr,Gemeente,Plaats,Straat,Huisnummer,Toevoeging,Postcode,PHT,Opmerking,Type_object,Functie,Status,Waardering,Datum_pl,Bouwjaar_v,Bouwjaar_t,Datum_inv,Hoofd_object,Aanvullende_informatie,X_Coordinaat,Y_Coordinaat,URL_biotoop,Biotoop,Molens_hoofdstypen
"4907",0,17050,Lingewaard,Huissen,Doelenstraat,"41", ,6851DW,6851DW41,Bij,priestergraf,religieuze functie,gemeentelijk monument,middenkwaliteit, ,"1899","1904", , , ,192985,438887,,Biotoop,
"4918",0,17117,Lingewaard,Angeren,Rietkampseweg,"1", ,6687LC,6687LC1, ,boerderij,agrarische functie,gemeentelijk monument,middenkwaliteit, ,"1700","1800", , , ,192885,436147,,Biotoop,
"6834",514560,513,Apeldoorn,Apeldoorn,Jachtlaan,"8", ,7313CP,7313CP8, ,woonhuis,woonfunctie,rijksmonument,hoge kwaliteit, ,"1915", , , , ,192925,470918,,Biotoop,
"5935",0,5267,Arnhem,Arnhem,Zaslaan,"78", ,6823GJ,6823GJ78, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,15-6-1999,"1924", , , , ,192831,446204,,Biotoop,
"6874",0,3521,Arnhem,Arnhem,"Biesterfeldstraat, Lippe","1", ,6824LG,6824LG1, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,14-9-1999,"1953","1954", , , ,192902,445414,,Biotoop,
"6875",0,3529,Arnhem,Arnhem,"Biesterfeldstraat, Lippe","25", ,6824LK,6824LK25, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,14-9-1999,"1953","1954", , , ,192973,445492,,Biotoop,
"6876",0,3533,Arnhem,Arnhem,"Biesterfeldstraat, Lippe","31", ,6824LK,6824LK31, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,14-9-1999,"1953","1954", , , ,192973,445492,,Biotoop,
"6913",0,4343,Arnhem,Arnhem,Rosendaalseweg,"613", ,6824KL,6824KL613, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192936,445724,,Biotoop,
"6914",0,4348,Arnhem,Arnhem,Rosendaalseweg,"623", ,6824KL,6824KL623, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192976,445748,,Biotoop,
"6915",0,4350,Arnhem,Arnhem,Rosendaalseweg,"627", ,6824KL,6824KL627, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192972,445748,,Biotoop,
"6916",0,4352,Arnhem,Arnhem,Rosendaalseweg,"631", ,6824KL,6824KL631, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192976,445750,,Biotoop,
"6928",0,4504,Arnhem,Arnhem,Schuttersbergplein,"57", ,6823KR,6823KR57, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1923","1924", , , ,192908,446517,,Biotoop,
"6929",0,4507,Arnhem,Arnhem,Schuttersbergweg,"23", ,6823KE,6823KE23, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,15-6-1999,"1924", , , , ,192841,446203,,Biotoop,
"7103",0,2882,Arnhem,Arnhem,Hertenlaan,"5", ,6823LC,6823LC5, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1923","1924", , , ,192930,446513,,Biotoop,
"7112",0,3019,Arnhem,Arnhem,Jagersweg,"12", ,6823LL,6823LL12, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1923","1924", , , ,192914,446563,,Biotoop,
